Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
12.136867046,100.0234,15372286728.0913,4.15875,-0.625,1
12.312637806,100.0234,15372286728.0913,4.160625,-0.3125,1
12.312637806,100.0234,15372286728.0913,4.160625,-0.3125,1
12.312637806,100.0234,15372286728.0913,4.160625,-0.3125,1
12.312637806,100.0234,15372286728.0913,4.160625,-0.3125,1
12.488443375,100.0234,15372286728.0913,4.15875,-0.3125,1
12.488443375,100.0234,15372286728.0913,4.15875,-0.3125,1
12.488443375,100.0234,15372286728.0913,4.15875,-0.3125,1
12.664414406,100.0234,15372286728.0913,4.16,0.9375,1
12.664414406,100.0234,15372286728.0913,4.16,0.9375,1
12.664414406,100.0234,15372286728.0913,4.16,0.9375,1
12.664414406,100.0234,15372286728.0913,4.16,0.9375,1
12.840079308,100.0234,15372286728.0913,4.16,-0.3125,1
12.840079308,100.0234,15372286728.0913,4.16,-0.3125,1
12.840079308,100.0234,15372286728.0913,4.16,-0.3125,1
13.015851021,100.0234,15372286728.0913,4.15875,-0.3125,1
13.015851021,100.0234,15372286728.0913,4.15875,-0.3125,1
13.015851021,100.0234,15372286728.0913,4.15875,-0.3125,1
13.015851021,100.0234,15372286728.0913,4.15875,-0.3125,1
13.191681862,100.0234,15372286728.0913,4.16,-1.25,1
13.191681862,100.0234,15372286728.0913,4.16,-1.25,1
13.191681862,100.0234,15372286728.0913,4.16,-1.25,1
13.367612839,100.0234,15372286728.0913,4.1575,0.625,1
13.367612839,100.0234,15372286728.0913,4.1575,0.625,1
13.367612839,100.0234,15372286728.0913,4.1575,0.625,1
13.367612839,100.0234,15372286728.0913,4.1575,0.625,1
13.543215752,100.0234,15372286728.0913,4.16,-0.3125,1
13.543215752,100.0234,15372286728.0913,4.16,-0.3125,1
13.543215752,100.0234,15372286728.0913,4.16,-0.3125,1
13.719018459,100.0234,15372286728.0913,4.16125,-0.3125,1
13.719018459,100.0234,15372286728.0913,4.16125,-0.3125,1
13.719018459,100.0234,15372286728.0913,4.16125,-0.3125,1
13.719018459,100.0234,15372286728.0913,4.16125,-0.3125,1
13.894999981,100.0234,15372286728.0913,4.15875,-0.3125,1
13.894999981,100.0234,15372286728.0913,4.15875,-0.3125,1
13.894999981,100.0234,15372286728.0913,4.15875,-0.3125,1
14.070771694,100.0234,15372286728.0913,4.15875,-0.625,1
14.070771694,100.0234,15372286728.0913,4.15875,-0.625,1
14.070771694,100.0234,15372286728.0913,4.15875,-0.625,1
14.070771694,100.0234,15372286728.0913,4.15875,-0.625,1
